timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619158181106,173,Twitter-0,301,Moved Permanently,Thread Group 1-10,,true,,614,129,20,20,http://www.twitter.com/intent/tweet,173,0,0
1619158181279,172,Twitter-1,301,Moved Permanently,Thread Group 1-10,,true,,642,129,20,20,https://www.twitter.com/intent/tweet,172,0,0
1619158181451,266,Twitter-2,200,OK,Thread Group 1-10,text,true,,66848,125,20,20,https://twitter.com/intent/tweet,238,0,0
1619158180547,1244,Quora ,200,OK,Thread Group 1-1,text,true,,159966,377,20,20,https://softwaremon.quora.com/,9,0,4
1619158180547,9,Quora -0,301,Moved Permanently,Thread Group 1-1,,true,,328,127,20,20,http://www.softwaremon.quora.com/,9,0,4
1619158180556,263,Quora -1,301,Moved Permanently,Thread Group 1-1,,true,,632,127,20,20,https://www.softwaremon.quora.com/,263,0,0
1619158180819,972,Quora -2,200,OK,Thread Group 1-1,text,true,,159006,123,20,20,https://softwaremon.quora.com/,506,0,0
1619158181238,584,Twitter,200,OK,Thread Group 1-4,text,true,,68090,383,20,20,https://twitter.com/intent/tweet,173,0,0
1619158181238,173,Twitter-0,301,Moved Permanently,Thread Group 1-4,,true,,600,129,20,20,http://www.twitter.com/intent/tweet,173,0,0
1619158181411,172,Twitter-1,301,Moved Permanently,Thread Group 1-4,,true,,642,129,20,20,https://www.twitter.com/intent/tweet,172,0,0
1619158181583,239,Twitter-2,200,OK,Thread Group 1-4,text,true,,66848,125,20,20,https://twitter.com/intent/tweet,210,0,0
1619158180767,1063,Quora ,200,OK,Thread Group 1-11,text,true,,159977,377,20,20,https://softwaremon.quora.com/,9,0,4
1619158180767,9,Quora -0,301,Moved Permanently,Thread Group 1-11,,true,,328,127,20,20,http://www.softwaremon.quora.com/,9,0,4
1619158180777,279,Quora -1,301,Moved Permanently,Thread Group 1-11,,true,,633,127,20,20,https://www.softwaremon.quora.com/,279,0,0
1619158181056,774,Quora -2,200,OK,Thread Group 1-11,text,true,,159016,123,20,20,https://softwaremon.quora.com/,293,0,0
1619158179764,2092,Quora ,200,OK,Thread Group 1-17,text,true,,159992,377,20,20,https://softwaremon.quora.com/,10,0,4
1619158179764,10,Quora -0,301,Moved Permanently,Thread Group 1-17,,true,,328,127,20,20,http://www.softwaremon.quora.com/,10,0,4
1619158179774,283,Quora -1,301,Moved Permanently,Thread Group 1-17,,true,,632,127,20,20,https://www.softwaremon.quora.com/,283,0,0
1619158180057,1799,Quora -2,200,OK,Thread Group 1-17,text,true,,159032,123,20,20,https://softwaremon.quora.com/,1044,0,0
1619158181529,514,Facebook,200,OK,Thread Group 1-20,text,true,,192473,236,20,20,https://www.facebook.com/,202,0,0
1619158181529,202,Facebook-0,301,Moved Permanently,Thread Group 1-20,text,true,,366,118,20,20,http://www.facebook.com/,202,0,0
1619158181731,312,Facebook-1,200,OK,Thread Group 1-20,text,true,,192107,118,20,20,https://www.facebook.com/,286,0,0
1619158181514,583,Twitter,200,OK,Thread Group 1-5,text,true,,68334,383,20,20,https://twitter.com/intent/tweet,175,0,0
1619158181514,175,Twitter-0,301,Moved Permanently,Thread Group 1-5,,true,,600,129,20,20,http://www.twitter.com/intent/tweet,175,0,0
1619158181689,172,Twitter-1,301,Moved Permanently,Thread Group 1-5,,true,,642,129,20,20,https://www.twitter.com/intent/tweet,172,0,0
1619158181861,236,Twitter-2,200,OK,Thread Group 1-5,text,true,,67092,125,20,20,https://twitter.com/intent/tweet,205,0,0
1619158181303,830,Quora ,200,OK,Thread Group 1-12,text,true,,159986,377,20,20,https://softwaremon.quora.com/,18,0,8
1619158181303,18,Quora -0,301,Moved Permanently,Thread Group 1-12,,true,,328,127,20,20,http://www.softwaremon.quora.com/,18,0,8
1619158181321,263,Quora -1,301,Moved Permanently,Thread Group 1-12,,true,,631,127,20,20,https://www.softwaremon.quora.com/,263,0,0
1619158181585,548,Quora -2,200,OK,Thread Group 1-12,text,true,,159027,123,20,20,https://softwaremon.quora.com/,292,0,0
1619158181645,499,Facebook,200,OK,Thread Group 1-18,text,true,,192462,236,20,20,https://www.facebook.com/,202,0,0
1619158181645,202,Facebook-0,301,Moved Permanently,Thread Group 1-18,text,true,,349,118,20,20,http://www.facebook.com/,202,0,0
1619158181847,297,Facebook-1,200,OK,Thread Group 1-18,text,true,,192113,118,20,20,https://www.facebook.com/,266,0,0
1619158180881,1277,Quora ,200,OK,Thread Group 1-14,text,true,,160011,377,20,20,https://softwaremon.quora.com/,11,0,6
1619158180881,11,Quora -0,301,Moved Permanently,Thread Group 1-14,,true,,328,127,20,20,http://www.softwaremon.quora.com/,11,0,6
1619158180892,252,Quora -1,301,Moved Permanently,Thread Group 1-14,,true,,631,127,20,20,https://www.softwaremon.quora.com/,252,0,0
1619158181144,1014,Quora -2,200,OK,Thread Group 1-14,text,true,,159052,123,20,20,https://softwaremon.quora.com/,299,0,0
1619158180905,1284,Quora ,200,OK,Thread Group 1-8,text,true,,159983,377,20,20,https://softwaremon.quora.com/,13,0,5
1619158180905,13,Quora -0,301,Moved Permanently,Thread Group 1-8,,true,,328,127,20,20,http://www.softwaremon.quora.com/,13,0,5
1619158180918,274,Quora -1,301,Moved Permanently,Thread Group 1-8,,true,,631,127,20,20,https://www.softwaremon.quora.com/,274,0,0
1619158181192,997,Quora -2,200,OK,Thread Group 1-8,text,true,,159024,123,20,20,https://softwaremon.quora.com/,520,0,0
1619158181596,604,Facebook,200,OK,Thread Group 1-6,text,true,,192485,236,20,20,https://www.facebook.com/,201,0,0
1619158181596,201,Facebook-0,301,Moved Permanently,Thread Group 1-6,text,true,,366,118,20,20,http://www.facebook.com/,201,0,0
1619158181797,403,Facebook-1,200,OK,Thread Group 1-6,text,true,,192119,118,20,20,https://www.facebook.com/,264,0,0
1619158181212,1013,Quora ,200,OK,Thread Group 1-19,text,true,,159995,377,20,20,https://softwaremon.quora.com/,16,0,6
1619158181212,16,Quora -0,301,Moved Permanently,Thread Group 1-19,,true,,328,127,20,20,http://www.softwaremon.quora.com/,16,0,6
1619158181228,254,Quora -1,301,Moved Permanently,Thread Group 1-19,,true,,631,127,20,20,https://www.softwaremon.quora.com/,254,0,0
1619158181482,743,Quora -2,200,OK,Thread Group 1-19,text,true,,159036,123,20,20,https://softwaremon.quora.com/,287,0,0
1619158181792,504,Facebook,200,OK,Thread Group 1-1,text,true,,192466,236,20,20,https://www.facebook.com/,205,0,0
1619158181792,205,Facebook-0,301,Moved Permanently,Thread Group 1-1,text,true,,366,118,20,20,http://www.facebook.com/,205,0,0
1619158181997,299,Facebook-1,200,OK,Thread Group 1-1,text,true,,192100,118,20,20,https://www.facebook.com/,270,0,0
1619158180971,1358,Quora ,200,OK,Thread Group 1-16,text,true,,159999,377,20,20,https://softwaremon.quora.com/,9,0,4
1619158180971,9,Quora -0,301,Moved Permanently,Thread Group 1-16,,true,,328,127,20,20,http://www.softwaremon.quora.com/,9,0,4
1619158180980,341,Quora -1,301,Moved Permanently,Thread Group 1-16,,true,,632,127,20,20,https://www.softwaremon.quora.com/,341,0,0
1619158181321,1008,Quora -2,200,OK,Thread Group 1-16,text,true,,159039,123,20,20,https://softwaremon.quora.com/,286,0,0
1619158181831,505,Facebook,200,OK,Thread Group 1-11,text,true,,192465,236,20,20,https://www.facebook.com/,208,0,0
1619158181831,208,Facebook-0,301,Moved Permanently,Thread Group 1-11,text,true,,366,118,20,20,http://www.facebook.com/,208,0,0
1619158182039,297,Facebook-1,200,OK,Thread Group 1-11,text,true,,192099,118,20,20,https://www.facebook.com/,275,0,0
1619158181333,1072,Quora ,200,OK,Thread Group 1-3,text,true,,159954,377,20,20,https://softwaremon.quora.com/,13,0,7
1619158181333,13,Quora -0,301,Moved Permanently,Thread Group 1-3,,true,,328,127,20,20,http://www.softwaremon.quora.com/,13,0,7
1619158181346,274,Quora -1,301,Moved Permanently,Thread Group 1-3,,true,,631,127,20,20,https://www.softwaremon.quora.com/,274,0,0
1619158181620,785,Quora -2,200,OK,Thread Group 1-3,text,true,,158995,123,20,20,https://softwaremon.quora.com/,281,0,0
1619158181442,1077,Quora ,200,OK,Thread Group 1-13,text,true,,159978,377,20,20,https://softwaremon.quora.com/,9,0,4
1619158181442,9,Quora -0,301,Moved Permanently,Thread Group 1-13,,true,,328,127,20,20,http://www.softwaremon.quora.com/,9,0,4
1619158181451,254,Quora -1,301,Moved Permanently,Thread Group 1-13,,true,,633,127,20,20,https://www.softwaremon.quora.com/,254,0,0
1619158181705,814,Quora -2,200,OK,Thread Group 1-13,text,true,,159017,123,20,20,https://softwaremon.quora.com/,340,0,0
1619158181062,1531,Quora ,200,OK,Thread Group 1-7,text,true,,160013,377,20,20,https://softwaremon.quora.com/,12,0,7
1619158181062,12,Quora -0,301,Moved Permanently,Thread Group 1-7,,true,,328,127,20,20,http://www.softwaremon.quora.com/,12,0,7
1619158181075,271,Quora -1,301,Moved Permanently,Thread Group 1-7,,true,,631,127,20,20,https://www.softwaremon.quora.com/,271,0,0
1619158181346,1247,Quora -2,200,OK,Thread Group 1-7,text,true,,159054,123,20,20,https://softwaremon.quora.com/,287,0,0
1619158182133,507,Facebook,200,OK,Thread Group 1-12,text,true,,192479,236,20,20,https://www.facebook.com/,203,0,0
1619158182133,203,Facebook-0,301,Moved Permanently,Thread Group 1-12,text,true,,366,118,20,20,http://www.facebook.com/,203,0,0
1619158182336,304,Facebook-1,200,OK,Thread Group 1-12,text,true,,192113,118,20,20,https://www.facebook.com/,274,0,0
1619158182159,497,Facebook,200,OK,Thread Group 1-14,text,true,,192462,236,20,20,https://www.facebook.com/,199,0,0
1619158182159,199,Facebook-0,301,Moved Permanently,Thread Group 1-14,text,true,,349,118,20,20,http://www.facebook.com/,199,0,0
1619158182358,298,Facebook-1,200,OK,Thread Group 1-14,text,true,,192113,118,20,20,https://www.facebook.com/,263,0,0
